1080.0		15.1
1070.0		15.31
1060.0		24.4
1050.0		61.02
1040.0		78.18
1030.0		111.77
1020.0		152.05
1010.0		147.54
1000.0		146.67
990.0		126.59
980.0		114.07
970.0		180.28
960.0		250.04
950.0		266.09
940.0		260.34
930.0		342.99
920.0		422.56
910.0		422.87
900.0		488.37
890.0		504.24
880.0		601.84
870.0		704.86
860.0		1099.95
850.0		1358.62
840.0		1476.4
830.0		1669.91
820.0		1868.29
810.0		1457.04
800.0		1365.78
790.0		1247.06
780.0		1084.95
770.0		1043.79
760.0		1088.33
750.0		1125.17
740.0		1373.45
730.0		1395.58
720.0		1117.81
710.0		910.73
700.0		743.5
