1080.0		27.9
1070.0		28.91
1060.0		48.6
1050.0		122.43
1040.0		160.94
1030.0		226.96
1020.0		310.39
1010.0		306.8
1000.0		293.49
990.0		257.38
980.0		236.99
970.0		357.48
960.0		504.37
950.0		535.39
940.0		508.65
930.0		688.16
920.0		815.08
910.0		835.32
900.0		941.51
890.0		955.07
880.0		1134.81
870.0		1312.89
860.0		1976.79
850.0		2422.26
840.0		2592.29
830.0		2862.11
820.0		3146.35
810.0		2553.15
800.0		2431.49
790.0		2218.89
780.0		2014.36
770.0		1901.69
760.0		1951.82
750.0		2035.47
740.0		2423.19
730.0		2444.1
720.0		2028.84
710.0		1692.6
700.0		1398.13
