1080.0		7.3
1070.0		6.73
1060.0		8.66
1050.0		14.04
1040.0		15.7
1030.0		18.01
1020.0		21.2
1010.0		22.05
1000.0		20.32
990.0		16.57
980.0		14.25
970.0		18.89
960.0		22.46
950.0		16.8
940.0		15.78
930.0		19.38
920.0		20.22
910.0		18.61
900.0		19.29
890.0		18.89
880.0		19.24
870.0		19.94
860.0		27.95
850.0		33.18
840.0		35.14
830.0		39.56
820.0		40.69
810.0		36.5
800.0		33.37
790.0		31.12
780.0		28.37
770.0		26.96
760.0		26.77
750.0		25.2
740.0		32.03
730.0		35.69
720.0		29.96
710.0		25.73
700.0		23.89
